,title,date,content
20,Air Liquide: prêt vert de 67 ME pour un projet hydrogène,2023-07-18 18:27:00,"['air', 'liquid', 'fait', 'savoir', 'cadr', 'sonprojetd', 'construct', 'deux', 'unit', 'product', 'bas', 'carbon', 'infrastructur', 'associ', 'parc', 'industriel', 'chimiqu', 'shangh', 'scip', 'filial', 'shangh', 'chemical', 'industry', 'park', 'industrial', 'gas', 'ltd', 'scipig', 'a', 'sign', 'prêt', 'vert', 'bilatéral', 'million', 'renminb', 'environ', 'million', 'bnp', 'parib', 'tant', 'seul', 'banqu', 'prêteux', 'conseil', 'vert', 'ceprêt', 'vertest', 'premi', 'accord', 'mond', 'financ', 'product', 'princip', 'commun', 'auxtaxonom', 'vert', 'chin', 'européen', 'scipig', 'assur', 'suiv', 'réguli', 'bénéfic', 'projet', 'plan', 'environnemental', 'ce', 'unit', 'product', 'destin', 'remplac', 'proven', 'unit', 'gazéif', 'charbon', 'apparten', 'tier', 'elle', 'permettront', 'ton', 'an', 'assur', 'air', 'liquid']"
21,Air Liquide: Stifel confirme sa recommandation,2023-07-07 15:14:00,"['stifel', 'maintient', 'conseil', 'titr', 'air', 'liquid', 'object', 'cour', 'inchang', 'euros', 'estim', 'air', 'liquid', 'devr', 'nouveau', 'être', 'mesur', 'prouv', 'model', 'économ', 'robust', 'croissanc', 'compar', 'posit', 'ebit', 'hauss', 'trimestr', 'stifel', 'rappel', 'néanmoin', 'context', 'économ', 'croissanc', 'segment', 'gaz', 'trimestr', 'croissanc', 'devr', 'limit', 'trimestr', 'secteur', 'indiqu', 'secteur', 'grand', 'industr', 'attendu', 'recul', 'tout', 'région', 'grand', 'industr', 'sant', 'devr', 'continu', 'bon', 'dynam', 'stifel', 'soulign', 'enfin', 'vent', 'contrair', 'li', 'effet', 'chang', 'intensifi', 'pes', 'quelqu', 'trimestr']"
22,Air Liquide: projet de transformation d'une activité,2023-07-06 07:36:00,"['la', 'direct', 'activ', 'sant', 'liquid', 'a', 'présent', 'partenair', 'social', 'projet', 'transform', 'activ', 'sant', 'domicil', 'franc', 'ains', 'tant', 'partenair', 'clé', 'system', 'sant', 'air', 'liquid', 'entend', 'contribu', 'mani', 'respons', 'nécessair', 'transform', 'défin', 'nouveau', 'model', 'activ', 'sant', 'domicil', 'franc', 'indiqu', 'group', 'le', 'projet', 'transform', 'présent', 'partenair', 'social', 'consist', 'ains', 'remodel', 'opérationnel', 'principal', 'entit', 'sant', 'domicil', 'group', 'pharm', 'dom', 'simplifi', 'portefeuill', 'marqu', 'regroup', 'certain', 'implant', 'il', 'vis', 'ailleur', 'rassembl', 'sein', 'entit', 'certain', 'fonction', 'transvers', 'actuel', 'soum', 'consult', 'instanc', 'représent', 'personnel', 'projet', 'impliqu', 'suppress', 'post', 'net', 'air', 'liquid', 'healthcar', 'souhait', 'propos', 'nouveau', 'model', 'pris', 'charg', 'domicil', 'permet', 'meilleur', 'organis', 'parcour', 'soin', 'qualit', 'vi', 'patient', 'meilleur', 'coût', 'system', 'sant', 'cet', 'transform', 'indispens', 'men', 'concert', 'partenair', 'social', 'a', 'déclar', 'philipp', 'ogé', 'directeur', 'général', 'sant', 'domicil', 'franc']"
23,Air Liquide: cession de la participation dans Hydrogenics,2023-06-30 09:21:00,"['air', 'liquid', 'a', 'annonc', 'vendred', 'allait', 'vendr', 'particip', 'minoritair', 'sein', 'spécial', 'product', 'pil', 'combustibl', 'cummin', 'détient', 'rest', 'societ', 'dan', 'communiqu', 'producteur', 'franc', 'gaz', 'industriel', 'expliqu', 'cadr', 'réguli', 'portefeuill', 'il', 'dit', 'malgr', 'tout', 'jam', 'engag', 'développ', 'not', 'concern', 'grand', 'taill', 'une', 'fois', 'détenu', 'cummin', 'hydrogenic', 'rest', 'fournisseur', 'liquid', 'projet', 'précis', 'group']"
24,Air Liquide: de l'hydrogène pour Paris 2024,2023-06-26 10:37:00,"['air', 'liquid', 'annonc', 'avoir', 'conclu', 'partenariat', 'comit', 'jeux', 'olymp', 'paralymp', 'paris', 'repos', 'hydrogen', 'véhicul', 'transport', 'athlet', 'officiel', 'plusieur', 'centain', 'voitur', 'hydrogen', 'toyot', 'mir', 'ains', 'avitaill', 'hydrogen', 'fourn', 'group', 'renouvel', 'produit', 'part', 'biométhan', 'garant', 'air', 'liquid', 'init', 'pilot', 'développ', 'actuel', 'parm', 'plus', 'grand', 'projet', 'mondial', 'décarbon', 'transport', 'grâc', 'not', 'il', 'ains', 'engag', 'développ', 'capac', 'install', 'trois', 'gigawatt']"
25,Air Liquide : soudaine envolée à la clôture et record absolu,2023-06-16 19:42:00,"['air', 'liquid', 'a', 'bénéfici', 'soudain', 'envol', 'clôtur', 'part', 'mai', 'a', 'propuls', 'cour', 'ver', 'record', 'absolu', 'le', 'titr', 'pulvéris', 'passag', 'résist', 'obliqu', 'long', 'term', 'issu', 'sommet', 'début', 'juin', 'a', 'plus', 'techniqu', 'mesur', 'doubl', 'valeur', 'rapport', 'planch', 'mar', 'dépass']"
26,Air Liquide: lance Hydrogen Airport avec ADP,2023-06-16 09:20:00,"['air', 'liquid', 'group', 'adp', 'annoncent', 'création', 'hydrogen', 'airport', 'premi', 'coentrepris', 'conseil', 'spécialis', 'aéroport', 'leur', 'projet', 'leur', 'infrastructur', 'cet', 'coentrepris', 'prolong', 'travail', 'men', 'conjoint', 'airbus', 'port', 'étud', 'faisabl', 'accompagn', 'hydrogen', 'trentain', 'mond', 'ce', 'partenariat', 'traduit', 'commun', 'deux', 'group', 'prépar', 'des', 'déploi', 'aviat', 'mondial', 'décarbon', 'dan', 'cadr', 'cet', 'coentrepris', 'air', 'liquid', 'apport', 'expertis', 'domain', 'allant', 'product', 'renouvel', 'bas', 'carbon', 'liquéfact', 'stockag', 'jusqu', 'distribu', 'group', 'adp', 'apport', 'expertis', 'mati', 'aéroportuair']"
27,Air Liquide: des évolutions au sein de son comité exécutif,2023-06-07 09:42:00,"['a', 'compt', 'sous', 'conduit', 'françois', 'jackow', 'directeur', 'général', 'comit', 'exécut', 'liquid', 'comm', 'suit', 'françois', 'abrial', 'nomm', 'secrétair', 'général', 'group', 'il', 'supervis', 'contrôl', 'général', 'conform', 'direct', 'jurid', 'group', 'affair', 'publiqu', 'international', 'ains', 'digital', 'it', 'ron', 'chalmer', 'nomm', 'directeur', 'pôl', 'asi', 'pacif', 'matthieu', 'giard', 'nomm', 'directeur', 'pôl', 'amer', 'armel', 'levieux', 'nomm', 'directric', 'elle', 'supervis', 'égal', 'branch', 'mondial', 'hydrogen', 'energ', 'électron', 'emil', 'nomm', 'directric', 'pôl', 'europ', 'industr', 'pascal', 'vinet', 'nomm', 'directeur', 'général', 'adjoint', 'il', 'supervis', 'égal', 'branch', 'mondial', 'industriel', 'enfin', 'direct', 'ressourc', 'humain', 'group', 'annonc', 'ultérieur', 'nouvel', 'organis', 'permettr', 'continu', 'trajectoir', 'perform', 'croissanc', 'ains', 'prépar', 'bénéfici', 'tout', 'équip', 'solid', 'engag', 'compétent', 'complémentair', 'comment', 'françois', 'jackow']"
28,Air Liquide: en négociations avec Safran pour une cession,2023-06-01 09:43:00,"['air', 'liquid', 'a', 'annonc', 'jeud', 'être', 'entré', 'négoci', 'exclus', 'safran', 'vu', 'cession', 'activ', 'aéronaut', 'le', 'fabric', 'gaz', 'industriel', 'expliqu', 'cet', 'décis', 'cadr', 'strateg', 'revu', 'réguli', 'portefeuill', 'consist', 'focalis', 'méti', 'march', 'se', 'activ', 'technolog', 'aéronaut', 'concentrent', 'secteur', 'aéronaut', 'domain', 'gaz', 'embarqu', 'équip', 'associ', 'bord', 'aéronef', 'représent', 'collabor', 'localis', 'sit', 'campus', 'technolog', 'grenobl', 'produit', 'équip', 'respiratoir', 'portabl', 'oxygen', 'solut', 'concentr', 'stockag', 'distribu', 'embarqu', 'ains', 'cel', 'concern', 'support', 'sol', 'optron', 'le', 'périmetr', 'concern', 'revanch', 'activ', 'cryogen', 'li', 'marin', 'du', 'côt', 'safran', 'expliqu', 'transact', 'viendr', 'renforc', 'system', 'oxygen', 'filial', 'safran', 'aerosystem', 'conçoit', 'équip', 'destin', 'assur', 'sécur', 'équipag', 'passager', 'bord', 'civil', 'militair', 'ains', 'hélicopter', 'cet', 'branch', 'compt', 'pres', 'salari', 'répart', 'entre', 'franc', 'a', 'croir', 'deux', 'part', 'devr', 'être', 'finalis', 'début']"
29,Air Liquide: l'UE approuve une coentreprise avec ADP,2023-05-15 14:16:00,"['la', 'commiss', 'européen', 'annonc', 'avoir', 'approuv', 'création', 'entrepris', 'commun', 'entre', 'aéroport', 'paris', 'adp', 'air', 'liquid', 'tout', 'deux', 'bas', 'franc', 'commun', 'offrir', 'aéroport', 'niveau', 'mondial', 'servic', 'conseil', 'vis', 'développ', 'fournitur', 'commercial', 'la', 'commiss', 'a', 'conclu', 'concentr', 'envisag', 'soulev', 'problem', 'concurrent', 'raison', 'impact', 'limit', 'structur', 'march']"
