Date,Open,High,Low,Close,Adj Close,Volume
2016-12-05,71.517654,72.712250,71.367393,72.366638,62.392410,1136236
2016-12-06,72.622086,73.869270,72.404205,73.764084,63.597244,1320517
2016-12-07,74.162285,75.882797,74.027046,75.882797,65.423935,1769024
2016-12-08,76.220886,77.197594,75.845230,77.197594,66.557518,1813797
2016-12-09,77.347855,78.399696,77.009766,78.136742,67.367218,1815708
2016-12-12,78.099174,78.362129,77.573250,77.948914,67.205276,1073518
2016-12-13,77.836212,78.474831,77.648384,78.136742,67.367218,1185054
2016-12-14,77.761078,78.324570,77.610817,78.024040,67.270050,967819
2016-12-15,78.850487,79.188583,78.061607,79.188583,68.274086,2105329
2016-12-16,78.888054,79.864761,78.287003,79.676933,68.695129,3159152
2016-12-19,79.451538,79.676933,79.038315,79.639366,68.662743,1020192
2016-12-20,79.676933,79.827194,78.737793,78.963188,68.079765,1442765
2016-12-21,78.850487,79.451538,78.587524,79.075882,68.176926,908765
2016-12-22,78.850487,78.963188,78.587524,78.925621,68.047379,935394
2016-12-23,78.850487,79.263710,78.587524,79.038315,68.144531,754707
2016-12-27,79.038315,79.338844,78.662659,79.188583,68.274086,547618
2016-12-28,79.376411,79.526672,78.963188,79.263710,68.338875,586684
2016-12-29,78.925621,79.263710,78.737793,79.263710,68.338875,517820
2016-12-30,79.263710,79.376411,78.399696,79.376411,68.436028,920775
2017-01-02,78.888054,79.413971,78.324570,79.188583,68.274086,483006
2017-01-03,79.376411,79.601807,78.587524,79.376411,68.436028,907727
2017-01-04,79.376411,79.564240,78.775352,79.301277,68.371246,1009763
2017-01-05,79.188583,79.413971,78.625092,79.338844,68.403648,1028574
2017-01-06,79.639366,80.052589,79.489105,79.676933,68.695129,1320084
2017-01-09,79.639366,79.639366,77.460556,78.662659,67.820656,1376335
2017-01-10,78.850487,79.188583,78.136742,78.474831,67.658722,932722
2017-01-11,78.549965,79.601807,78.324570,79.226143,68.306480,1242018
2017-01-12,79.000748,79.075882,78.211868,78.287003,67.496773,848637
